IP	Port	Protocol
101.0.38.233	60981	unknown
103.100.219.222	60551	unknown
103.100.219.222	60554	unknown
103.102.89.13	44816	unknown
103.102.89.13	44819	unknown
103.102.89.13	44820	unknown
103.102.89.13	44821	unknown
103.102.89.13	44823	unknown
103.103.123.168	65369	unknown
103.103.123.168	65389	unknown
103.107.142.102	25	smtp
103.109.224.174	443	https
103.111.133.220	37639	unknown
103.111.133.220	37640	unknown
103.111.230.63	44332	unknown
103.111.230.63	57150	unknown
103.116.163.10	25	smtp
103.116.163.9	25	smtp
103.116.239.46	64976	unknown
103.116.239.46	64989	unknown
103.118.189.242	10236	unknown
103.118.189.242	9131	unknown
103.120.208.150	63991	unknown
103.120.209.50	65528	unknown
103.121.118.202	50448	unknown
103.121.118.202	50479	unknown
103.121.240.24	39528	unknown
103.121.240.24	49482	unknown
103.12.195.65	14416	unknown
103.12.195.65	14417	unknown
103.12.195.65	14544	unknown
103.12.195.65	14945	unknown
103.12.195.65	15200	unknown
103.12.195.65	52518	unknown
103.12.195.65	52519	unknown
103.124.82.93	57690	unknown
103.125.131.6	24644	unknown
103.125.131.6	55133	unknown
103.129.108.37	65167	unknown
103.130.204.104	58840	unknown
103.130.204.104	58841	unknown
103.131.93.78	53918	unknown
103.131.93.78	53921	unknown
103.136.175.206	49014	unknown
103.137.194.15	26523	unknown
103.138.28.185	47822	unknown
103.138.28.186	51044	unknown
103.138.28.186	51045	unknown
103.138.8.227	54018	unknown
103.139.116.67	61899	unknown
103.139.116.67	61900	unknown
103.139.116.67	61901	unknown
103.139.116.67	61902	unknown
103.139.246.212	48068	unknown
103.139.246.71	60262	unknown
103.142.10.221	50870	unknown
103.142.10.221	50871	unknown
103.14.211.186	49817	unknown
103.14.211.186	52667	unknown
103.144.173.107	60116	unknown
103.144.173.107	60152	unknown
103.148.207.139	6887	unknown
103.148.207.139	7051	unknown
103.148.207.139	7132	unknown
103.148.21.253	9164	unknown
103.148.21.253	9165	unknown
103.151.255.115	443	https
103.153.58.78	443	https
103.155.108.25	46110	unknown
103.155.108.25	49374	unknown
103.157.188.161	58981	unknown
103.157.221.53	17930	unknown
103.157.221.53	17982	unknown
103.157.231.246	44538	unknown
103.157.231.246	46288	unknown
103.158.43.18	20981	unknown
103.158.43.18	61255	unknown
103.159.227.202	26785	unknown
103.159.227.202	26786	unknown
103.159.97.122	60175	unknown
103.159.97.122	60176	unknown
103.159.97.122	60182	unknown
103.159.97.122	60183	unknown
103.160.187.26	49228	unknown
103.160.187.26	49312	unknown
103.160.187.26	49317	unknown
103.160.26.217	65066	unknown
103.163.190.69	42494	unknown
103.163.249.129	22538	unknown
103.163.249.129	22539	unknown
103.164.1.140	52056	unknown
103.164.1.140	52085	unknown
103.164.1.140	52086	unknown
103.164.1.140	52087	unknown
103.164.1.140	52089	unknown
103.164.1.140	52090	unknown
103.165.115.174	5192	unknown
103.165.115.237	32276	unknown
103.165.115.237	33188	unknown
103.166.245.225	36782	unknown
103.166.245.225	57380	unknown
103.166.245.225	9608	unknown
103.167.122.95	55699	unknown
103.167.122.95	55756	unknown
103.167.194.115	19173	unknown
103.167.194.115	19263	unknown
103.173.194.85	39478	unknown
103.173.241.49	10804	unknown
103.173.241.49	11822	unknown
103.173.24.34	38368	unknown
103.174.244.84	62250	unknown
103.174.244.84	62251	unknown
103.174.244.84	62391	unknown
103.174.244.84	62404	unknown
103.174.244.84	62407	unknown
103.174.244.84	62421	unknown
103.174.244.84	62448	unknown
103.174.244.84	62488	unknown
103.174.244.84	62490	unknown
103.175.168.69	44470	unknown
103.175.184.250	10000	unknown
103.175.184.250	10001	unknown
103.175.184.250	10002	unknown
103.175.184.250	10003	unknown
103.175.184.250	10004	unknown
103.175.184.250	10005	unknown
103.175.186.84	38396	unknown
103.175.186.84	38424	unknown
103.176.137.228	55037	unknown
103.176.137.228	55038	unknown
103.176.137.228	55039	unknown
103.176.167.202	8686	unknown
103.177.113.202	42954	unknown
103.178.128.68	50046	unknown
103.178.143.242	45831	unknown
103.178.143.242	45881	unknown
103.178.143.85	45034	unknown
103.178.143.85	47784	unknown
103.178.143.85	47790	unknown
103.178.143.85	47806	unknown
103.178.143.85	47820	unknown
