IP	Port	Protocol
103.100.217.247	50893	unknown
103.102.28.127	35502	unknown
103.102.28.127	35946	unknown
103.102.28.127	35948	unknown
103.102.28.127	35964	unknown
103.102.28.127	35968	unknown
103.102.28.127	35970	unknown
103.102.28.127	35980	unknown
103.102.31.114	42746	unknown
103.102.31.114	42748	unknown
103.102.31.114	42750	unknown
103.102.31.114	42752	unknown
103.102.31.114	42754	unknown
103.102.31.114	42756	unknown
103.103.215.38	22955	unknown
103.103.215.38	22956	unknown
103.104.225.170	57714	unknown
103.105.10.224	54280	unknown
103.105.10.224	54500	unknown
103.106.136.43	47774	unknown
103.108.7.79	7455	unknown
103.111.230.56	59784	unknown
103.113.217.35	59084	unknown
103.113.217.35	59085	unknown
103.113.217.35	59086	unknown
103.113.99.246	50322	unknown
103.114.167.59	63784	unknown
103.114.167.59	63811	unknown
103.114.211.102	58952	unknown
103.114.211.102	58954	unknown
103.114.211.102	58955	unknown
103.114.211.102	58956	unknown
103.116.239.123	65484	unknown
103.116.239.123	65499	unknown
103.118.160.5	46370	unknown
103.118.189.242	1274	unknown
103.120.208.217	65000	unknown
103.120.208.217	65018	unknown
103.120.208.242	64904	unknown
103.120.208.242	64978	unknown
103.123.48.2	60371	unknown
103.126.229.32	54044	unknown
103.126.229.32	54045	unknown
103.130.204.34	50557	unknown
103.130.204.34	50558	unknown
103.133.49.253	35442	unknown
103.133.49.253	47866	unknown
103.136.92.4	13909	unknown
103.136.92.4	13910	unknown
103.139.246.147	64413	unknown
103.139.246.147	64427	unknown
103.142.10.221	50505	unknown
103.142.10.221	50506	unknown
103.145.18.150	45320	unknown
103.145.18.150	45326	unknown
103.146.216.247	61077	unknown
103.146.216.247	61113	unknown
103.146.228.72	49265	unknown
103.146.228.72	49266	unknown
103.146.228.72	49271	unknown
103.146.228.72	49272	unknown
103.148.206.94	59511	unknown
103.155.2.25	18144	unknown
103.159.97.82	54842	unknown
103.160.198.249	51416	unknown
103.160.198.249	51417	unknown
103.160.211.168	43114	unknown
103.161.52.42	36952	unknown
103.161.55.12	13362	unknown
103.161.55.12	3606	unknown
103.16.29.134	60435	unknown
103.163.190.36	45444	unknown
103.163.190.36	45918	unknown
103.163.190.36	47750	unknown
103.164.197.178	37710	unknown
103.165.23.106	53154	unknown
103.165.23.106	53767	unknown
103.165.23.106	53771	unknown
103.167.172.188	28051	unknown
103.167.172.188	58127	unknown
103.167.75.191	50405	unknown
103.167.75.191	50406	unknown
103.171.117.166	51493	unknown
103.172.8.39	51036	unknown
103.173.170.58	48940	unknown
103.173.170.58	48956	unknown
103.173.195.169	44154	unknown
103.173.195.169	50526	unknown
103.174.199.208	43360	unknown
103.174.199.208	43362	unknown
103.174.199.208	43364	unknown
103.174.199.208	43366	unknown
103.174.199.208	43368	unknown
103.174.199.208	43370	unknown
103.175.175.134	44672	unknown
103.175.246.62	50918	unknown
103.177.252.115	6031	unknown
103.177.82.101	37285	unknown
103.177.82.101	54643	unknown
103.178.105.35	58452	unknown
103.178.198.243	51876	unknown
103.178.198.243	51877	unknown
103.178.253.129	50946	unknown
103.179.122.217	59202	unknown
103.181.15.137	63607	unknown
103.18.169.184	40166	unknown
103.181.90.174	26311	unknown
103.183.24.77	59867	unknown
103.183.24.77	59868	unknown
103.18.68.1	57032	unknown
103.190.253.125	50928	unknown
103.190.253.125	50929	unknown
103.199.112.2	57412	unknown
103.199.112.2	57415	unknown
103.199.189.68	45033	unknown
103.199.189.68	47454	unknown
103.203.208.84	65159	unknown
103.203.208.84	65247	unknown
103.207.224.81	16442	unknown
103.207.224.81	16564	unknown
103.209.18.108	55846	unknown
103.210.145.254	48852	unknown
103.210.146.4	55959	unknown
103.210.146.4	56005	unknown
103.211.112.252	37202	unknown
103.211.112.252	44172	unknown
103.211.112.252	44188	unknown
103.211.112.252	44198	unknown
103.211.112.252	44212	unknown
103.211.112.252	44216	unknown
103.211.112.252	44218	unknown
103.211.13.175	50369	unknown
103.211.13.175	50370	unknown
103.212.138.151	59853	unknown
103.212.144.189	52316	unknown
103.212.144.189	52317	unknown
103.212.157.14	58568	unknown
103.212.158.166	46608	unknown
103.212.158.166	46616	unknown
103.215.224.69	46782	unknown
103.216.207.65	53618	unknown
103.218.237.230	41138	unknown
103.218.237.230	41142	unknown
103.218.237.230	41144	unknown
103.218.237.230	41147	unknown
103.218.237.230	41148	unknown
103.218.237.230	41150	unknown
103.221.248.180	52527	unknown
103.221.77.18	37452	unknown
103.225.117.207	40839	unknown
103.225.117.207	44698	unknown
103.240.8.94	51924	unknown
103.240.8.94	51926	unknown
103.242.199.60	54702	unknown
103.247.54.244	13530	unknown
103.24.86.7	12591	unknown
103.24.86.7	12655	unknown
103.251.217.111	30536	unknown
103.25.152.28	37276	unknown
103.251.53.172	9108	unknown
103.251.53.238	62040	unknown
103.251.53.238	62190	unknown
103.252.142.14	20640	unknown
103.252.142.14	22112	unknown
103.252.142.14	53960	unknown
103.252.142.14	60384	unknown
103.252.142.19	25	smtp
103.252.142.19	443	https
103.252.142.19	80	http
103.252.142.21	443	https
103.252.142.21	80	http
103.252.142.22	443	https
103.252.142.22	80	http
103.252.142.24	443	https
103.252.142.24	80	http
103.252.142.27	443	https
103.252.142.27	80	http
103.252.142.28	443	https
103.252.142.35	443	https
103.252.142.41	443	https
103.252.142.41	80	http
103.252.142.46	443	https
103.252.142.46	80	http
103.252.142.49	443	https
103.252.142.53	443	https
103.252.142.55	443	https
103.252.142.9	443	https
103.252.5.101	17103	unknown
103.252.5.101	17249	unknown
103.255.146.202	62479	unknown
103.255.146.202	62480	unknown
103.255.37.141	49516	unknown
103.27.49.92	5092	unknown
103.27.49.92	5165	unknown
103.30.178.229	52248	unknown
103.30.178.229	52249	unknown
103.30.64.210	51445	unknown
103.31.143.102	39504	unknown
103.31.143.102	50072	unknown
103.31.220.181	58108	unknown
103.3.206.210	63752	unknown
103.38.69.51	61022	unknown
103.38.69.51	61023	unknown
103.38.69.51	61043	unknown
103.38.69.51	61186	unknown
103.38.69.51	61244	unknown
103.38.69.51	61336	unknown
103.38.69.51	61345	unknown
103.38.69.51	61397	unknown
103.57.86.3	57466	unknown
103.58.116.60	31341	unknown
103.58.116.60	48555	unknown
103.59.202.190	49640	unknown
103.59.202.190	49656	unknown
103.59.75.219	40396	unknown
103.59.75.219	59296	unknown
103.66.214.12	36442	unknown
103.67.12.226	41969	unknown
103.67.12.226	46435	unknown
103.68.114.82	50382	unknown
103.68.114.82	50383	unknown
103.69.201.71	55494	unknown
103.69.201.71	55495	unknown
103.70.82.20	59378	unknown
103.70.82.20	59384	unknown
103.74.239.28	51240	unknown
103.75.32.38	53352	unknown
103.77.137.224	55112	unknown
103.79.165.78	47925	unknown
103.79.165.78	47929	unknown
103.83.128.169	27513	unknown
103.83.128.169	27597	unknown
103.90.211.162	60484	unknown
103.90.211.162	60500	unknown
103.90.211.162	60508	unknown
103.90.211.162	60512	unknown
103.97.165.13	63606	unknown
103.97.212.108	63000	unknown
104.28.193.170	50740	unknown
104.28.37.117	58553	unknown
104.28.37.119	19927	unknown
104.28.37.147	22557	unknown
104.28.37.207	44858	unknown
104.28.37.80	11935	unknown
104.77.173.102	34349	unknown
104.77.173.102	48517	unknown
104.77.173.102	53659	unknown
104.77.173.102	64282	unknown
104.77.173.102	64297	unknown
104.77.173.116	38280	unknown
104.77.173.116	38298	unknown
104.77.173.118	34480	unknown
104.77.173.118	35604	unknown
104.77.173.118	35615	unknown
104.77.173.118	40218	unknown
104.77.173.118	42815	unknown
104.77.173.118	42969	unknown
104.77.173.118	44118	unknown
104.77.173.118	48150	unknown
104.77.173.118	55647	unknown
104.77.173.118	56350	unknown
104.77.173.118	58565	unknown
104.77.173.118	60317	unknown
104.77.173.140	34901	unknown
104.77.173.140	38267	unknown
104.77.173.141	33761	unknown
104.77.173.141	39284	unknown
104.77.173.141	41060	unknown
104.77.173.141	41065	unknown
104.77.173.141	41080	unknown
104.77.173.141	58486	unknown
104.77.173.141	58487	unknown
104.77.173.141	58492	unknown
104.77.173.141	58497	unknown
104.77.173.141	59670	unknown
104.77.173.141	62521	unknown
104.77.173.141	64226	unknown
104.77.173.141	64231	unknown
104.77.173.141	65348	unknown
104.77.173.150	42589	unknown
104.77.173.150	49346	unknown
104.77.173.150	52161	unknown
104.77.173.150	59083	unknown
104.77.173.37	35245	unknown
104.77.173.37	36305	unknown
104.77.173.37	38233	unknown
104.77.173.37	38244	unknown
104.77.173.37	45581	unknown
104.77.173.37	50311	unknown
104.77.173.37	54057	unknown
104.77.173.37	61746	unknown
104.77.173.52	36743	unknown
104.77.173.52	38405	unknown
104.77.173.52	42024	unknown
104.77.173.52	42037	unknown
104.77.173.52	42040	unknown
104.77.173.52	42051	unknown
104.77.173.52	42056	unknown
104.77.173.52	42071	unknown
104.77.173.52	42078	unknown
104.77.173.52	42085	unknown
104.77.173.52	42096	unknown
104.77.173.52	42105	unknown
104.77.173.52	42113	unknown
104.77.173.52	44051	unknown
104.77.173.52	50451	unknown
104.77.173.52	55590	unknown
104.77.173.52	57765	unknown
104.77.173.52	59378	unknown
104.77.173.52	62979	unknown
104.77.173.52	64663	unknown
104.77.173.55	38305	unknown
104.77.173.55	38320	unknown
104.77.173.55	38419	unknown
104.77.173.55	63308	unknown
104.77.173.69	47253	unknown
104.77.173.69	54875	unknown
104.77.173.70	51684	unknown
104.77.173.70	51688	unknown
104.77.173.70	52159	unknown
104.77.173.70	52164	unknown
104.77.173.70	53392	unknown
104.77.173.70	53399	unknown
104.77.173.70	56740	unknown
104.77.173.70	63070	unknown
104.77.173.70	63077	unknown
104.77.173.70	63078	unknown
104.77.173.70	63093	unknown
104.77.173.70	63108	unknown
104.77.173.70	63117	unknown
104.77.173.76	58670	unknown
104.77.173.76	63130	unknown
104.77.173.76	63133	unknown
104.77.173.77	40785	unknown
104.77.173.77	41790	unknown
104.77.173.77	41802	unknown
104.77.173.77	41867	unknown
104.77.173.77	44540	unknown
104.77.173.77	44785	unknown
104.77.173.77	45189	unknown
104.77.173.77	45202	unknown
104.77.173.77	47969	unknown
104.77.173.77	47970	unknown
104.77.173.77	47984	unknown
104.77.173.77	48637	unknown
104.77.173.77	48657	unknown
104.77.173.77	52168	unknown
104.77.173.77	52956	unknown
104.77.173.77	52967	unknown
104.77.173.77	53814	unknown
104.77.173.77	55210	unknown
104.77.173.77	57916	unknown
104.77.173.77	58539	unknown
104.77.173.77	59454	unknown
104.77.173.86	42125	unknown
104.77.173.86	47850	unknown
104.90.5.100	34351	unknown
104.90.5.100	35209	unknown
104.90.5.100	39110	unknown
104.90.5.100	39363	unknown
104.90.5.100	39366	unknown
104.90.5.100	41997	unknown
104.90.5.100	47509	unknown
104.90.5.100	47782	unknown
104.90.5.100	50724	unknown
104.90.5.100	51827	unknown
104.90.5.100	53716	unknown
104.90.5.100	55036	unknown
104.90.5.100	57298	unknown
104.90.5.100	58222	unknown
104.90.5.100	63138	unknown
104.90.5.100	63300	unknown
104.90.5.100	64769	unknown
104.90.5.100	64992	unknown
104.90.5.100	65140	unknown
104.90.5.101	36391	unknown
104.90.5.101	37245	unknown
104.90.5.101	48799	unknown
104.90.5.101	50941	unknown
104.90.5.101	52012	unknown
104.90.5.101	55900	unknown
104.90.5.101	55915	unknown
104.90.5.101	56879	unknown
104.90.5.101	56886	unknown
104.90.5.101	60193	unknown
104.90.5.101	61509	unknown
104.90.5.101	64510	unknown
104.90.5.102	36237	unknown
104.90.5.102	42439	unknown
104.90.5.102	42982	unknown
104.90.5.102	42987	unknown
104.90.5.102	43022	unknown
104.90.5.102	43025	unknown
104.90.5.102	49053	unknown
104.90.5.102	49158	unknown
104.90.5.102	50668	unknown
104.90.5.102	51981	unknown
104.90.5.103	62805	unknown
104.90.5.103	64740	unknown
104.90.5.108	33464	unknown
104.90.5.108	33589	unknown
104.90.5.108	35945	unknown
104.90.5.108	47459	unknown
104.90.5.108	48924	unknown
104.90.5.108	52668	unknown
104.90.5.108	55015	unknown
104.90.5.108	59250	unknown
104.90.5.108	59275	unknown
104.90.5.109	37916	unknown
104.90.5.109	38117	unknown
104.90.5.109	39865	unknown
104.90.5.109	49404	unknown
104.90.5.109	49417	unknown
104.90.5.109	49439	unknown
104.90.5.109	54059	unknown
104.90.5.109	54743	unknown
104.90.5.109	54812	unknown
104.90.5.109	57426	unknown
