Count	Protocol	Cipher Suite Algorithm
31764	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
11731	TLS 1.2	TLS_RSA_WITH_AES_128_CBC_SHA256
8780	TLS 1.2	TLS_RSA_WITH_AES_256_GCM_SHA384
6993	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
6024	TLS 1.2	TLS_RSA_WITH_AES_256_CBC_SHA256
4575	TLS 1.2	TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
1819	TLS 1.2	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
97	TLS 1.2	TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
78	TLS 1.2	TLS_RSA_WITH_AES_128_GCM_SHA256
39	TLS 1.3	TLS_AES_256_GCM_SHA384
12	TLS 1.3	TLS_AES_128_GCM_SHA256
7	Unknown	Unknown Cipher (0xc028)
4	TLS 1.2	TLS_RSA_WITH_AES_256_CBC_SHA
2	TLS 1.2	TLS_ECDH_anon_WITH_AES_256_CBC_SHA
1	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA
