IP	Port	Protocol
10.78.1.182	42138	unknown
10.78.1.182	42407	unknown
10.78.1.182	42415	unknown
10.78.1.182	42417	unknown
10.78.1.182	42458	unknown
10.78.1.182	42460	unknown
10.78.1.182	42533	unknown
10.78.1.182	42535	unknown
10.78.1.182	42748	unknown
10.78.1.182	42750	unknown
10.78.1.182	42757	unknown
10.78.1.182	42759	unknown
10.78.1.182	42985	unknown
10.78.1.182	42987	unknown
10.78.1.182	43008	unknown
10.78.1.182	43010	unknown
10.78.1.182	43299	unknown
10.78.1.182	43301	unknown
10.78.1.182	43508	unknown
10.78.1.182	43562	unknown
10.78.1.182	43585	unknown
10.78.1.182	43599	unknown
10.78.1.182	43790	unknown
10.78.1.182	43857	unknown
10.78.1.182	43859	unknown
10.78.1.182	43914	unknown
10.78.1.182	43918	unknown
10.78.1.182	44052	unknown
10.78.1.182	44130	unknown
10.78.1.182	44373	unknown
10.78.1.182	44388	unknown
10.78.1.182	44404	unknown
10.78.1.182	44414	unknown
10.78.1.182	44425	unknown
10.78.1.182	44466	unknown
10.78.1.182	44520	unknown
10.78.1.182	44522	unknown
10.78.1.182	44665	unknown
10.78.1.182	44730	unknown
10.78.1.182	44778	unknown
10.78.1.182	44785	unknown
10.78.1.182	44787	unknown
10.78.1.182	44804	unknown
10.78.1.182	44806	unknown
10.78.1.182	44917	unknown
10.78.1.182	44980	unknown
10.78.1.182	44985	unknown
10.78.1.182	45002	unknown
10.78.1.182	45070	unknown
10.78.1.182	45090	unknown
10.78.1.182	45112	unknown
10.78.1.182	45114	unknown
10.78.1.182	45222	unknown
10.78.1.182	45224	unknown
10.78.1.182	45245	unknown
10.78.1.182	45267	unknown
10.78.1.182	45269	unknown
10.78.1.182	45333	unknown
10.78.1.182	45456	unknown
10.78.1.182	45458	unknown
10.78.1.182	45462	unknown
10.78.1.182	45464	unknown
10.78.1.182	45586	unknown
10.78.1.182	45588	unknown
10.78.1.182	45595	unknown
10.78.1.182	45623	unknown
10.78.1.182	45772	unknown
10.78.1.182	45776	unknown
10.78.1.182	45804	unknown
10.78.1.182	45806	unknown
10.78.1.182	45835	unknown
10.78.1.182	45855	unknown
10.78.1.182	46030	unknown
10.78.1.182	46032	unknown
10.78.1.182	46056	unknown
10.78.1.182	46063	unknown
10.78.1.182	46065	unknown
10.78.1.182	46068	unknown
10.78.1.182	46070	unknown
10.78.1.182	46096	unknown
10.78.1.182	46098	unknown
10.78.1.182	46309	unknown
10.78.1.182	46313	unknown
10.78.1.182	46356	unknown
10.78.1.182	46358	unknown
10.78.1.182	46398	unknown
10.78.1.182	46402	unknown
10.78.1.182	46615	unknown
10.78.1.182	46629	unknown
10.78.1.182	46638	unknown
10.78.1.182	46640	unknown
10.78.1.182	46700	unknown
10.78.1.182	46702	unknown
10.78.1.182	46904	unknown
10.78.1.182	46905	unknown
10.78.1.182	46906	unknown
10.78.1.182	46921	unknown
10.78.1.182	46923	unknown
10.78.1.182	46963	unknown
10.78.1.182	46965	unknown
10.78.1.182	47018	unknown
10.78.1.182	47020	unknown
10.78.1.182	47174	unknown
10.78.1.182	47245	unknown
10.78.1.182	47247	unknown
10.78.1.182	47316	unknown
10.78.1.182	47318	unknown
10.78.1.182	47422	unknown
10.78.1.182	47476	unknown
10.78.1.182	47547	unknown
10.78.1.182	47553	unknown
10.78.1.182	47726	unknown
10.78.1.182	47834	unknown
10.78.1.182	47836	unknown
10.78.1.182	47869	unknown
10.78.1.182	47871	unknown
10.78.1.182	47976	unknown
10.78.1.182	48013	unknown
10.78.1.182	48038	unknown
10.78.1.182	48169	unknown
10.78.1.182	48173	unknown
10.78.1.182	48300	unknown
10.78.1.182	48316	unknown
10.78.1.182	48318	unknown
10.78.1.182	48374	unknown
10.78.1.182	48640	unknown
10.78.1.182	48678	unknown
10.78.1.182	48878	unknown
10.78.1.182	48898	unknown
10.78.1.182	49118	unknown
10.78.1.182	49120	unknown
10.78.1.182	49354	unknown
10.78.1.182	49360	unknown
10.78.1.182	49670	unknown
10.78.1.182	49672	unknown
10.78.1.182	49956	unknown
10.78.1.182	49966	unknown
10.78.1.182	49968	unknown
10.78.1.182	50008	unknown
10.78.1.182	50010	unknown
10.78.1.182	50306	unknown
10.78.1.182	50308	unknown
10.78.1.182	50604	unknown
10.78.1.182	50612	unknown
10.78.1.182	50709	unknown
10.78.1.182	50713	unknown
10.78.1.182	50926	unknown
10.78.1.182	50928	unknown
10.78.1.182	50991	unknown
10.78.1.182	50995	unknown
10.78.1.182	51052	unknown
10.78.1.182	51214	unknown
10.78.1.182	51216	unknown
10.78.1.182	51259	unknown
10.78.1.182	51285	unknown
10.78.1.182	51313	unknown
10.78.1.182	51315	unknown
10.78.1.182	51651	unknown
10.78.1.182	51661	unknown
10.78.1.182	51663	unknown
10.78.1.182	51773	unknown
10.78.1.182	51775	unknown
10.78.1.182	51989	unknown
10.78.1.182	51997	unknown
10.78.1.182	52233	unknown
10.78.1.182	52235	unknown
10.78.1.182	52543	unknown
10.78.1.182	52547	unknown
10.78.1.182	52829	unknown
10.78.1.182	52831	unknown
10.78.1.182	53089	unknown
10.78.1.182	53091	unknown
10.78.1.182	53617	unknown
10.78.1.182	53673	unknown
10.78.1.182	53927	unknown
10.78.1.182	54033	unknown
10.78.1.182	54035	unknown
10.78.1.182	54171	unknown
10.78.1.182	54235	unknown
10.78.1.182	54489	unknown
10.78.1.182	54505	unknown
10.78.1.182	54507	unknown
10.78.1.182	54563	unknown
10.78.1.182	54831	unknown
10.78.1.182	54875	unknown
10.78.1.182	55077	unknown
10.78.1.182	55083	unknown
10.78.1.182	55303	unknown
10.78.1.182	55307	unknown
10.78.1.182	55549	unknown
10.78.1.182	55550	unknown
10.78.1.182	55863	unknown
10.78.1.182	55865	unknown
10.78.1.182	56151	unknown
10.78.1.182	56173	unknown
10.78.1.182	56174	unknown
10.78.1.182	56203	unknown
10.78.1.182	56205	unknown
10.78.1.182	56495	unknown
10.78.1.182	56497	unknown
10.78.1.182	56799	unknown
10.78.1.182	56801	unknown
10.78.1.182	57115	unknown
10.78.1.182	57117	unknown
10.78.1.182	57235	unknown
10.78.1.182	57413	unknown
10.78.1.182	57415	unknown
10.78.1.182	62945	unknown
10.78.1.182	62947	unknown
10.78.1.182	63227	unknown
10.78.1.182	63229	unknown
10.78.1.182	63489	unknown
10.78.1.182	63511	unknown
10.78.1.182	63541	unknown
10.78.1.182	63542	unknown
10.78.1.182	63599	unknown
10.78.1.182	63859	unknown
10.78.1.182	63879	unknown
10.78.1.182	63881	unknown
10.78.1.182	64011	unknown
10.78.1.182	64017	unknown
10.78.1.182	64243	unknown
10.78.1.182	64245	unknown
10.78.1.182	64457	unknown
10.78.1.182	64459	unknown
10.78.1.182	64787	unknown
10.78.1.182	64789	unknown
10.78.1.182	65085	unknown
10.78.1.182	65087	unknown
10.78.1.182	65341	unknown
10.78.1.182	65343	unknown
10.78.1.182	9326	unknown
10.78.1.182	9392	unknown
10.78.1.182	9610	unknown
10.78.1.182	9722	unknown
10.78.1.182	9726	unknown
10.78.1.182	9866	unknown
10.78.1.182	9954	unknown
10.78.1.192	389	ldap
10.78.1.192	53	dns
10.78.1.193	389	ldap
10.78.1.193	88	unknown
10.78.1.213	1883	mqtt
10.78.1.215	443	https
